username,text,date
solvecarstudio,🙌🙌,2024-09-04 13:31:58
pietro.lipiani,Nave 😍🚀👏🔥,2024-09-03 21:15:49
joaopaulo_beltrao,🔥🔥🔥🔥,2024-09-04 15:52:17
flight_reposting,😮😍🔥,2024-09-04 01:21:01
everton_araujo46,🔥🔥🔥,2024-09-04 01:44:17
lzf3rn4nd0,Se a Audi fábrica-se um próprio caminhão seria melhor de todos?,2024-09-03 21:30:25
luig.ibjj,🔥🔥🔥,2024-09-16 20:08:27
juan_kayro,Dê um lugar para o gabriel bortoleto na F1,2024-09-03 23:00:18
maurocarneirofreitas,"Por favor, tragam a SQ5",2024-09-04 13:19:30
andre.lara.946,SQ5 Combustão 🔥,2024-09-05 17:03:13
rafasguella,"Hummmmmmm, interessante hein? Qual valor previsto? Quando vai estar nas lojas @audibr?",2024-10-21 01:13:35
