username,text,date
savethewagons,Sonho! 🙌,2024-09-11 12:43:46
oliveirarodrigo620,😍,2024-09-10 13:46:18
natalia_do_rosario_,😍😍😍,2024-09-17 12:12:18
raphaelsantos_061,😍🔥 lindo de mais,2024-09-09 23:09:10
gabrielsb89,😍😍😍😍 A minha vai ser Nogaro 💙.,2024-09-09 21:16:47
collectormgt,👏😍,2024-09-11 11:11:25
passatb5wagon,preciso urgentemente de uma,2024-09-11 03:17:51
murilo.m.bueno,Tenho a miniatura hotwheels dela vermelha na caixa.,2024-09-10 02:43:52
_j_edu_,,2024-09-09 23:17:18
roderleicorrea,Tive o enorme prazer de ter sido dono de uma RS2 azul e foi o carro mais incrivel que dirigi!!!,2024-09-10 01:46:06
victoriveros_,🔥🔥🔥🔥,2024-09-09 21:47:17
zac_garagem,Época de ouro da Audi 👏,2024-09-10 22:09:13
luiscarlossp,❤️ a perfeição!!!!!,2024-09-13 13:04:10
jst89coupe,M5 touring was faster...,2024-09-11 14:24:51
dario_netto_,"Estou com muitos problemas junto a área de qualidade da empresa. Tive um serviço “cortesia” cobrado e não executado! Protocolo desde 4/9 sem solução! Se não fizeram um item de higienização interna, que fica na cara do consumidor, será que foram executados os outros itens?",2024-09-10 19:20:18
tolarings,Temos o produto,2024-09-11 03:01:09
studio_renovatio,👏👏👏👏,2024-09-22 12:31:32
martinss.sk7,"Meta, quero ter uma dessa como primeiro carro, nave demais! 👏",2024-09-13 11:51:47
gabriel_silva_racing,Não resta dúvida alguma sobre a avançada tecnologia inerente e desing fascinante. #Audibr,2024-09-21 00:15:38
artucox7,"Primeiro carro propriamente esportivo a ser vendido, pq nos anos 80 já tinha o Audi Quattro 👍",2024-09-20 11:18:45
wiidnight_,Agora eu tava pensando... Imagina uma perua da Lamborghini? Será que ia ser legal?,2024-09-18 23:14:52
passatb5wagon,"e uma RS4 também, por gentileza, @audibr",2024-09-11 03:18:49
