username,text,date
neidovale,😍😍😍😍😍😍,2024-09-19 20:44:19
osantoliquido,emocionante. na expectativa pelos próximos capítulos!,2024-09-17 19:08:28
cris_kuchiki,Coração batendo forte desde já ❤️❤️❤️,2024-09-17 21:52:16
sthefan_ko,"Quem é fã raiz do Senna, tem que ser fã da Audi também! Homenagem linda!",2024-09-18 01:24:08
castigarraga,Senna + Audi 🔥❤️😢,2024-09-17 19:13:48
gerold_pillekamp,To muito feliz com esse projeto lindo! ❤️⭕️⭕️⭕️⭕️,2024-09-17 18:34:25
maahrabelo,😍,2024-09-17 23:32:47
elianebnpereira,😍😍😍,2024-09-19 20:48:25
lkyan.xd,a audi revivendo mais um legado 🔥❤️,2024-09-21 18:45:07
elainederis,😍😍😍,2024-09-20 11:25:04
marinabotequio,😮😮😮,2024-09-17 17:37:28
kennedynascimento__,👏👏👏👏👏👏,2024-09-18 21:13:01
nandonscmt,E a AUDI bem que podia contratar um  certo brasileiro pra f1 né. hehe,2024-09-17 19:42:39
jv_reh17,"👏 todos respeitam esse herói, impossível n respeitar essa lenda, parabéns Audi pela homenagem (OBS: adoro as marcas alemãs, te adoro tbm e mt viu Audi❤️?)",2024-09-22 00:10:54
arthurrkjl,❤️,2024-09-19 23:53:27
otavio_vieira690,Senna foi uma lenda assim como a Audi é 😍,2024-09-19 09:23:44
laispacheco,Demais!,2024-09-19 12:10:09
idtbwa,Homenagem linda ao legado do Senna! Parabéns Audi pelos seus 30 anos e obrigada pelo presente que nos deu. 💛,2024-09-25 12:24:42
rafael_fiuza10,Não vejo a hora! 🙌❤️,2024-09-18 14:23:29
erikcavalcante47,Que coisa incrível parabéns audi👏,2024-09-22 23:23:03
rafanicolau37_,"Audi, o que você quer tá Bortoleto 😘",2024-09-18 21:07:37
gabriel_brandolin,"Ídolo!
Orgulho em ser embaixador AUDI 😍",2024-09-19 02:16:04
dih.oliveirabr,Homenagem Incrível❤️,2024-09-21 13:57:00
guinerrodriguesde,👏👏👏👏👏👏,2024-09-19 00:05:08
gabysoaresmesquita,Humm @gabrielbortoleto_  explica isso aí direito pra nós,2024-09-19 19:21:57
deho_sakki,Será q é oq eu tô pensando q é?,2024-09-19 18:07:59
netocezario,👏👏👏👏👏,2024-09-19 21:45:48
mellidriving,Que incrível! ❤️🥹,2024-09-21 18:32:46
brendinn_019,"Rapaz a curiosidade bateu agr em o que será que tão aprontando? Da audi pode se esperar de tudo, os cara é incrível carros bons e tecnológicos, revela isso logo em se nn vou aguentar a curiosidade kkkkk",2024-09-21 00:23:36
cavalcantirafaelluiz_,Audi melhor carro com o melhor piloto😍,2024-09-19 09:38:34
mrmiltonromao,"Daqui a pouco a Audi vai está na fórmula 1 ansioso para ver o show compartilhado com o público, obrigado Audi por ser @AirtonSenna. Audi uma marca extraordinária... @audibr  fazendo história, fazer parte desta história é um presente.",2024-09-18 23:59:36
chrissctl,@audibr me contrata pra eu ser seu piloto por favor,2024-09-29 20:28:35
vk__41__,ISSO E UMA CONFIRMAÇÃO? TA DEIXANDO A GENTE SONHAR DEMAIS!,2024-09-22 22:12:03
j.alenxandre08,Como eu queria poder pelo menos ver de perto oq está por vim,2024-09-23 02:44:05
san78vitor,não precisa mais ficar atiçando a gente pode anunciar o Bortoleto logo,2024-09-20 00:00:24
rx_mvk2,Uma lenda nunca esquecida Senna 🇧🇷,2024-09-18 22:30:46
netogallucci,@audibr se for um teaser de anúncio do Bortoleto vocês terão meu coração pra sempre... 🇧🇷,2024-09-18 17:18:35
gui_reizner_12,"Senhorita @audibr,diz-me que é oq eu estou pensando🥹",2024-09-21 20:07:37
joaoarthurzanatta,Podia colocar um brasileiro na F1 né Audi kakakakaka,2024-09-19 22:46:57
pedro_schmitz_carrasco,,2024-09-18 01:45:18
doca,🔥👏👏👏👏👏,2024-09-17 23:26:51
ju_meirelles,WOW 😮 @audibr meu coração bateu forte ❤️ Ansiosa.,2024-09-17 17:44:38
dav.ims15,❤️❤️,2024-09-19 00:17:48
jkzinx._,,2024-09-17 18:01:08
freitasracing,Ayrton Senna tem história com a Audi!,2024-09-18 00:44:13
