username,text,date
b4_avant_rj,"A história da Audi no Brasil está intimamente ligada ao Chefe, o melhor de todos os pilotos, com um belo tino comercial!  #sennaforever",2024-09-19 20:50:05
gabrielsb89,😍,2024-09-19 14:50:18
palom_dep,❤️🔥,2024-09-19 16:05:31
rb.cardetail,😍,2024-09-19 23:47:34
marinabotequio,👏👏,2024-09-19 17:02:41
brunodecastro.motors,,2024-09-19 15:36:42
giuploetterle,😍🔥,2024-09-19 18:52:14
gerold_pillekamp,⭕️⭕️⭕️⭕️,2024-09-19 21:10:35
brunodecastro.motors,"Realmente, essa história não terminou aí… Bortoleto na Audi!!🙌🏻🙏🏻",2024-09-19 15:37:09
joaoamarok,Formidável.,2024-09-19 15:56:27
batistajunior270,Vem novidade boa aí 👀👏,2024-09-19 14:54:46
apogianeli,Uma lenda!,2024-09-26 15:50:09
audi_s3_imola,👏👏👏,2024-09-19 16:32:12
henricleyguarnieri,Agora quero ir lá com o Audi testar 😂,2024-09-19 15:04:40
mirrorscars.com.br,“Vorsprung durch Technik”,2024-09-19 15:23:54
freitasracing,,2024-09-19 15:30:34
kevin.chen1102,,2024-09-19 18:38:19
nwt_isaac,A Audi trazer o Bortoleto pra F1 é pedir dms? 😭🙏,2024-09-29 03:56:46
johnnyuenaka,"Tive algumas oportunidades de passar por esta curva, duas vezes a pé correndo a Ayrton Senna Racing Day, e algumas outras pilotando modelos Audi (e de outras marcas) em treinamentos de lançamentos de produto. 

Ver este post e assistir ao documentário “O Legado do S: Mapeando o S do Senna pelo Brasil” fez o coração acelerar e também algumas lágrimas correrem pelo rosto. 

Parabéns, @audibr! 
👏🏻👏🏻👏🏻
🇧🇷🏎️🏁🏆",2024-09-30 17:43:51
