username,text,date
apogianeli,Emocionante! Vi ontem o documentário! Ansiosa pra conhecer os outros S pelo Brasil! ❤️,2024-09-26 13:47:55
tour.cwb.gtgtigts,❤️❤️❤️❤️❤️❤️❤️,2024-09-24 09:14:01
maahrabelo,😍😍😍😍,2024-09-22 00:28:50
joaopaulo_beltrao,👏👏👏👏⭕️⭕️⭕️⭕️,2024-09-22 13:28:16
alexqueiroz_perez,"👏🏻👏🏻👏🏻👏🏻
OOOO ❤️",2024-09-25 21:14:40
cris_kuchiki,Emocionada!! ❤️,2024-09-22 00:10:09
flaviogn,😮👏👏👏,2024-09-22 00:15:27
frgustavo,👏👏,2024-09-22 00:26:48
brunodecastrooficial,👏👏👏🇧🇷,2024-09-22 09:31:07
marcelocampana,😍😍,2024-09-22 16:28:01
gerold_pillekamp,Coração batendo forte por esse momento ⭕️⭕️⭕️⭕️,2024-09-22 00:11:19
ferrazluiza,Ansiosa pra assistir!,2024-09-22 00:20:47
marinabotequio,ansiosaaaa,2024-09-22 00:07:48
_shock.s,🔥🔥🔥🔥,2024-09-22 01:54:23
danielcarvalhomanaus,@neidovale 👏👏👏👏,2024-09-22 12:55:27
danimischiatti,uauu 🔥,2024-09-22 00:13:53
rodrigogab__,Olha o @neidovale 🔥,2024-09-24 14:46:30
igor_matos.s,👏👏👏👏👏👏,2024-09-24 13:21:30
rodrigocosta1508,@neidovale 🏁🏁🇧🇷🇧🇷🇧🇷🇧🇷,2024-09-22 10:39:46
abner_riibeiro,e vem ele? 🇧🇷🇧🇷🇧🇷🇧🇷,2024-09-24 01:50:33
giuploetterle,obaaaa 😍😍🎉,2024-09-22 00:46:22
vyvyanmonteiro,👏👏👏,2024-10-01 03:32:14
giovannimamede,ANSIOSO,2024-09-22 02:06:55
padoquedazoeira,💚💛💚💛💚💛💚💛,2024-09-23 20:26:30
brunnapaola,❤️,2024-09-24 10:53:21
doca,👏👏👏🔥,2024-09-22 23:50:24
vicctoriacarolina,Tá chegando! 🥹,2024-09-22 00:13:32
okstudiodsgn,Ansiosa demaaaaais,2024-09-23 13:28:46
julyo.09,O Senna tinha uma audi,2024-09-23 20:20:40
idtbwa,Projeto incrível que nos enche de orgulho! 💛,2024-09-25 12:23:35
mirandamotogrife,Urubici acontece. É uma honra nossa cidade receber tamanha homenagem.,2024-09-25 22:03:46
chrysgarage,Sensacional!,2024-09-25 20:48:11
thiagosantirocco,Que coisa mais incrível!!!,2024-09-24 02:03:33
audi_s3_imola,👏👏👏👏,2024-09-23 20:15:30
tuliobelo,🙌🙌🙌,2024-09-22 00:27:18
fernandazirneti,🥹🥹🥹,2024-09-23 02:48:08
tati_ferri,Incrível,2024-09-22 00:11:53
thamiresoliveiralima1,👏👏👏👏👏,2024-09-30 23:28:57
castigarraga,,2024-09-22 00:19:03
nicktebet,legado gigate✨,2024-09-22 00:18:33
guga_diehl,👀,2024-09-22 15:32:31
cristianepaggi,👏👏👏,2024-09-22 00:11:53
fernanda.maynart,🔥🔥🔥,2024-09-22 01:01:36
depacheco,Não posso perder!! Ansiosa demais!!,2024-09-22 00:24:09
vibrait,👏👏,2024-09-22 00:17:15
thadrummond,👏👏,2024-09-22 00:14:33
mm_marcoss,👏👏👏,2024-09-22 01:52:10
felipe_audisantos,🖤,2024-09-22 19:38:41
fnscedu,"audi, homenageia os fãs do Senna e contrata o Bortoleto pra 2025 👍🏻",2024-09-22 20:36:51
whiskybruto,Viúvas,2024-09-22 13:40:35
antonio.rehling,Mas ele não gostou quando viu o que fizeram da sugestão que ele deu,2024-09-22 15:04:36
terra_luni,Vocês podem vir experimentar Urubici e se hospedarem com a gente! @terra_luni,2024-09-26 22:20:45
am.moreira,😢,2024-09-27 02:30:29
matt_marques17,AUDI TRAGA O @gabrielbortoleto_ PARA A F1 !! PFVR 🙏🙌,2024-09-27 15:20:28
