username,text
Entrar,
Entrar,"Tive algumas oportunidades de passar por esta curva, duas vezes a pé correndo a Ayrton Senna Racing Day, e algumas outras pilotando modelos Audi (e de outras marcas) em treinamentos de lançamentos de produto.

Ver este post e assistir ao documentário “O Legado do S: Mapeando o S do Senna pelo Brasil” fez o coração acelerar e também algumas lágrimas correrem pelo rosto.

Parabéns, @audibr!
👏🏻👏🏻👏🏻
🇧🇷🏎️🏁🏆"
Entrar,A Audi trazer o Bortoleto pra F1 é pedir dms? 😭🙏
Entrar,Uma lenda!
Entrar,😍
Entrar,⭕️⭕️⭕️⭕️
Entrar,"A história da Audi no Brasil está intimamente ligada ao Chefe, o melhor de todos os pilotos, com um belo tino comercial! #sennaforever"
Entrar,😍🔥
Entrar,
Entrar,👏👏
Entrar,👏👏👏
